"Name","Slug","Summary","Body","Path","CategorySlug","CategoryPathSlug","VideoUrl","SourceFile"
"Adjust Balance testing","adjust-balance-amount","testing ","<p>testing</p>
","","","","","adjust-balance-amount.md"
"Adjust Balance Amount","adjust-balance-amount","Guide for Adjust Balance Amount","<p><video controls src=""/videos/adjust-balance-amount.mp4"" style=""width: 100%""></video></p>
<p>In this article, you&#39;ll learn how to adjust a patient&#39;s paid amount to any other date of service. </p>
<h3>Step 1: Select the patient whose balance you want to adjust. To do this, go to Patients and select the desired patient.</h3>
<h3>Step 2: View the patient&#39;s profile.</h3>
<h3>Step 3: Navigate to the Billing tab on the left scroll.</h3>
<h3>Step 4: Here, you&#39;ll see all the charge IDs for that patient. If a patient payment is available or the patient has paid any amount, the Adjust Balance button will be available. However, if the charge ID is in closed status, you won&#39;t be able to move or adjust that balance to any other date of service. To adjust the balance, click on the Add this balance button.</h3>
<h3>Step 5: You&#39;ll now see all dates of services for that patient. You can adjust the balance with these dates of service.</h3>
<h3>Step 6: For instance, let&#39;s say you&#39;re adjusting from the patient&#39;s date of service on the 29th of February 2024, and for that particular charge ID, the patient has paid $310. You can adjust a partial or full amount to any date of service listed in the table.</h3>
<h3>Step 7: As an example, let&#39;s adjust $10 to this charge ID for a $100 tourist charge ID.</h3>
<h3>Step 8: Once you click out of the box, you&#39;ll see the total remaining balance, which you can adjust to any other date of services.</h3>
<h3>Step 9: Once the total amount is adjusted, you won&#39;t be able to adjust any more balances. The button will be disabled and you&#39;ll see that the remaining amount is going to credit balance.</h3>
<h3>Step 10: When you&#39;re done, click on the Adjust Balance button. The system will automatically adjust these balances to all the charge IDs for which you were adjusting the balances.</h3>
<h3>Step 11: You can track the payment details under the charge ID that you just set this balance for.</h3>
<h3>Step 12: To see the payment details, go to Detail View and move to the Payments tab.</h3>
<h3>Step 13: Here, you&#39;ll see the payment from charge ID 911-3295 and the date of service using which we have adjusted a $200 in discharge ID.</h3>
<hr>
<p><em>Thank you for following this tutorial.</em></p>
","billing-videos","billing-videos","billing-videos","","billing-videos/adjust-balance-amount.md"
"Billing Dashboard Overview","billing-dashboard-overview","Guide for Billing Dashboard Overview","<p><video controls src=""/videos/billing-dashboard-overview.mp4"" style=""width: 100%""></video></p>
<p>Explore the Spry billing dashboard and its features. This guide provides a detailed walkthrough of the dashboard, its sections, and functionalities.Start by accessing the billing dashboard. On the left-hand side, click on the money sign labeled Billing.</p>
<h3>Step 1: Familiarize with the dashboard layout. Notice the different sections at the top: overall billing tab, patient collection tab, reports, and the newly added reports section. These provide a comprehensive overview of the clinic and detailed reports.</h3>
<h3>Step 2: Use the filters. Filter data by payer name, PP, tags, patient names, charge ID, claim statuses, or set a date range. For this guide, leave these filters empty.</h3>
<h3>Step 3: Understand the claim buckets. The dashboard displays different buckets where claims can sit. The first one is Draft.</h3>
<h3>Step 4: Explore the Draft section. This is where claims are prepared before submission. Here, view all claims ready for submission, make edits or changes as needed, update the overall status, submit the claim, write it off, or edit it.</h3>
<h3>Step 5: Edit a claim. Clicking on edit takes into the actual claim. Click on the edit button at the top.</h3>
<h3>Step 6: Edit details such as the ICD code or the CPT code. Ensure these are correct before sending them out. Once done, click on done to save changes.</h3>
<h3>Step 7: To save the changes. Click on save.</h3>
<h3>Step 8: Return to the dashboard. Click on Draft again. If desired, submit the claim.</h3>
<h3>Step 9: Understand the Accepted bucket. These are claims that have been accepted by the clearinghouse. Once paid by the insurance payer, they move to the Bill Pending section.</h3>
<h3>Step 10: Understand the bill pending section. This is where the patient responsibility lies. Once the patient pays their portion, closing the claim, it moves to the Close section.</h3>
<h3>Step 11: Understand the paper submission buckets. Some payers require a paper submission. These claims are tracked in the Paper Submission and Paper Submitted sections.</h3>
<h3>Step 12: Understand the Rejected bucket. These are claims that have been rejected by the clearinghouse. The reasons for rejection are provided for review and correction before resubmission.</h3>
<h3>Step 13: Understand the Pending Review section. This is where claims with partial payments are reviewed to ensure full payment.</h3>
<h3>Step 14: Understand the Denied section. These are claims denied by the payer, not the clearinghouse. The reasons for denial are provided.</h3>
<h3>Step 15: Edit a denied claim. Make necessary changes and resubmit the claim.</h3>
<h3>Step 16: Understand the Self Pay bucket. This is where all self pay claims are tracked.</h3>
<h3>Step 17: Export data. All data can be exported for further analysis or record-keeping.</h3>
","billing-videos","billing-videos","billing-videos","","billing-videos/billing-dashboard-overview.md"
"Claim Submission Process Update","claim-submission-process-update","Guide for Claim Submission Process Update","<p><video controls src=""/videos/claim-submission-process-update.mp4"" style=""width: 100%""></video></p>
<p>This article will guide you through the process of submitting claims to secondary or tertiary pairs.</p>
<h3>Step 1: Navigate to the Rejected, Denied, or Pending Status buckets.</h3>
<h3>Step 2: Click on any bucket and move to the right side of the window. Here, you&#39;ll find the Submit as button.</h3>
<h3>Step 3: Click on the Submit as button. This will display all the associated claims with that particular charge id. If multiple claims are present, you&#39;ll see all of them.</h3>
<h3>Step 4: Choose the charge id for which you want to submit the claim. For instance, if there are three claims, you&#39;ll see that in primary claims, you have the option to submit a fresh or a resubmit claim.</h3>
<h3>Step 5: In the secondary claims, you&#39;ll find the option to submit a new fresh claim. Once you submit a fresh claim, the resubmit option will appear under the same menu. This applies to tertiary claims as well.</h3>
<h3>Step 6: The same option is available in the Denied and Bill Pending buckets.</h3>
<p>Please note, if the claim is self-pay,
the resubmit button or Submit as button won&#39;t be available to click on. For instance, this is an insurance pay claim and the
Submit as button is available for this claim. And that&#39;s it! You&#39;ve successfully navigated the claim submission process.</p>
","billing-videos","billing-videos","billing-videos","","billing-videos/claim-submission-process-update.md"
"Detailed Claim Overview","detailed-claim-overview","Guide for Detailed Claim Overview","<p><video controls src=""/videos/detailed-claim-overview.mp4"" style=""width: 100%""></video></p>
<p>Dive into a detailed view of each individual point in this guide. </p>
<h3>Step 1: Click on the pop-up to navigate to the next screen.</h3>
<h3>Step 2: Observe the overview of the entire claim, including what was allowed, the bill, and the insurance adjusted pay.</h3>
<h3>Step 3: Navigate to the review section. Note that editing is not possible for closed claims.</h3>
<h3>Step 4: Explore options such as efax, viewing the actual claim form, and viewing the SOAP note.</h3>
<h3>Step 5: Scroll down to see the ICD and CPT codes billed.</h3>
<h3>Step 1: Examine the overall claim, including the ERA ID, total charge amount, insurance, and a broad overview of the claim itself.</h3>
<h3>Step 2: Navigate to the ERA section. Note that in a sandbox environment, it will say manual. In a live environment, claims are automatically posted.</h3>
<h3>Step 3: Observe the total billed amount, total allowed amount, total paid amount, and total adjusted amount, as well as the different codes.</h3>
<h3>Step 1: Review the payment section, which shows all the different payments made during the claim process.</h3>
<h3>Step 2: Check out the invoices sent to the patient.</h3>
<h3>Step 1: View the overall history of the claim, including all stages from bill pending to closure.</h3>
<h3>Step 2: Check the insurance details of the patient.</h3>
<h3>Step 1: If any documents were uploaded as part of the claim, they will be found here.</h3>
<h3>Step 2: Review any notes added to the claim.</h3>
<h3>Step 1: Check eligibility for each individual claim.</h3>
<h3>Step 2: If the claim is not closed and is in bill pending, collect payment from here. Send a link to the patient for payment or swipe if they are present.</h3>
<p>Remember, the collect payment button is typically used when sending an invoice of the bill to the patient.</p>
","billing-videos","billing-videos","billing-videos","","billing-videos/detailed-claim-overview.md"
"E-Wallet","e-wallet","Guide for E-Wallet","<p><video controls src=""/videos/e-wallet.mp4"" style=""width: 100%""></video></p>
<p>Explore the feature of the e-wallet with this guide. Start by navigating to the patient&#39;s timeline.</p>
<h3>Step 1: Locate the e-wallet option on the left-hand side panel.</h3>
<p>This e-wallet belongs to the patient and displays all the dates of services for that patient. To add an amount into the e-wallet, follow these steps:</p>
<h3>Step 1: Type in the desired amount in the provided field.</h3>
<h3>Step 2: Choose the mode of payment.</h3>
<h3>Step 3: Click on Add to Wallet.</h3>
<p>After adding the amount, it&#39;s possible to view all transaction details. This includes any previous amounts added to the e-wallet. Access these transactions from this tab.
To apply charges or the amount to any date of services, follow these steps:</p>
<h3>Step 1: Select the desired dates of service. For example, the seventh of October and the twenty-fifth of August.</h3>
<h3>Step 2: Click on Collect from e-wallet.</h3>
<p>After confirming, the selected amount will be deducted from the wallet and applied to those dates of services. If a patient wishes to withdraw an amount from the e-wallet, follow these steps:</p>
<h3>Step 1: Navigate to the Withdraw option.</h3>
<h3>Step 2: Type in the amount to withdraw, for example, fifty dollars.</h3>
<h3>Step 3: Confirm the withdrawal.</h3>
<p>After confirming, the specified amount will be deducted from the wallet balance and withdrawn. This transaction will also be reflected in the transaction details as a wallet withdrawal.</p>
","billing-videos","billing-videos","billing-videos","","billing-videos/e-wallet.md"
"Missed Copay Feature","missed-copay-feature","Guide for Missed Copay Feature","<p><video controls src=""/videos/missed-copay-feature.mp4"" style=""width: 100%""></video></p>
<p>This guide explains how to use the &quot;Missed Copay&quot; feature in the Billing tab and the significance of the red and green dollar icons on the scheduler. The scheduler displays two appointments for the therapist, Megan Young. The patient, Ross Helms, has a red dollar sign next to his appointment.
This red dollar sign indicates that the copay has been entered in the total copay field, but it hasn&#39;t been collected yet.
On the other hand, the patient, Courtney Butler, has a green dollar sign next to her appointment.
This green dollar sign signifies that the copay has been collected.
For instance, Courtney&#39;s copay is twenty dollars, and the collected amount is also twenty dollars. Hence, a collected copay is represented by a green dollar sign.
Now, let&#39;s consider a scenario where a patient has a copay of thirty dollars, but it was missed during collection.
To rectify this, navigate to the patient&#39;s timeline.
Then, proceed to the Billing tab.
Here, we&#39;ve added a &quot;Missed Copay&quot; feature. It shows a missed copay amount of thirty dollars that needs to be collected from the patient. To collect this payment,
click on &quot;Collect Payments&quot;. If there are multiple missed copays, select the relevant charge IDs. All copays will be listed in the columns. After selecting the charge IDs for which payment needs to be collected, click on
&quot;Collect Payment&quot;. This allows you to collect the payment from the patient using different payment methods. After choosing the payment method, click on the &quot;Collect Payment&quot; option.
If you need to send an invoice to the patient for the missed copay, there&#39;s an option in the total outstanding balance called &quot;Collect Payments&quot;.
Click on it. The missed copay invoice will appear on the left screen panel. To send the invoice to the patient, click
on &quot;List Copay List&quot;.</p>
","billing-videos","billing-videos","billing-videos","","billing-videos/missed-copay-feature.md"
"Posting Bulk ERA","posting-bulk-era","Guide for Posting Bulk ERA","<p><video controls src=""/videos/posting-bulk-era.mp4"" style=""width: 100%""></video></p>
<p>This guide provides a step-by-step process for posting bulk ERS.</p>
<h3>Step 1: Navigate to the billing dashboard.</h3>
<h3>Step 2: Proceed to the ERS section.</h3>
<h3>Step 3: Fill in all the mandatory fields from the ERA check.</h3>
<h3>Step 4: Use the search function to find the pair.</h3>
<h3>Step 5: After filling in all mandatory details, search for child IDs by the patient.</h3>
<h3>Step 6: Once a patient is selected, all the charge IDs of that patient will appear in a dropdown menu. Select multiple charge IDs as needed.</h3>
<h3>Step 7: If a charge ID is selected by mistake, it&#39;s possible to remove it.</h3>
<h3>Step 8: Search by typing the charge ID.</h3>
<h3>Step 9: After typing the charge ID, it will appear in the dropdown menu.</h3>
<h3>Step 10: Proceed to the next screen.</h3>
<h3>Step 11: On this screen, view all the CPT details of the selected charge ID. It&#39;s also possible to add a charge ID from this screen.</h3>
<h3>Step 12: If necessary, return to the previous screen to edit details.</h3>
<h3>Step 13: Add the charge ID again, if needed.</h3>
<h3>Step 14: Fill in all the required fields.</h3>
<h3>Step 15: Review all validation errors. It&#39;s necessary to resolve all validation errors before pushing the array. If needed, unselect the charge ID.</h3>
<h3>Step 16: Once all errors are resolved, click on the &quot;Post ERA&quot; button. If nothing is entered for a specific CPT code, the entire billed amount will be adjusted.</h3>
<h3>Step 17: Confirm the bulk addition by clicking on &quot;Post ARA&quot;. The bulk ERS has been successfully added.</h3>
","billing-videos","billing-videos","billing-videos","","billing-videos/posting-bulk-era.md"
"Refunds & Move Balance to E-wallet","refunds-move-balance-to-e-wallet","Guide for Refunds & Move Balance to E-wallet","<p><video controls src=""/videos/refunds-move-balance-to-e-wallet.mp4"" style=""width: 100%""></video></p>
<p>In this article, you&#39;ll learn how to process refunds on Spry, a feature useful for front desk staff or administrators. </p>
<h3>Step 1: Start by selecting a patient whose charges you want to refund. Navigate to the billing screen. Here, you&#39;ll see a list of charge IDs for various services.</h3>
<h3>Step 2: To refund charges for a specific service, locate the refund button next to the service.</h3>
<h3>Step 3: Clicking the refund button reveals all information related to that particular charge ID, including past transactions, transaction methods, and any refunds previously processed.</h3>
<h3>Step 4: Let&#39;s assume a transaction occurred on this charge ID on April 16th and the patient paid $25. Now, you need to refund an amount. Enter the amount you wish to refund.</h3>
<h3>Step 5: After entering the amount, select a reason for the refund.</h3>
<h3>Step 6: By default, the refund processes using the same method as the original transaction. Click on Refund to finalize the process.</h3>
<h3>Step 7: You&#39;ll notice that the amount has been successfully refunded. Now, if you want to transfer this balance to the E Wallet instead of a refund, select a specific transaction. For example, if you want to move $10 to the eWallet, choose the move to eWallet option.</h3>
<h3>Step 8: After selecting the move to eWallet option, select a reason and click on refund to eWallet.</h3>
<h3>Step 9: The specific transaction moves to the eWallet, updating the balance accordingly.</h3>
<h3>Step 10: You can view all the refund history, including the total number of refunds processed to date and the refund transactions, in the refund history section.</h3>
<p>And that&#39;s it! You&#39;ve successfully processed a refund on Spry.</p>
","billing-videos","billing-videos","billing-videos","","billing-videos/refunds-move-balance-to-e-wallet.md"
"Adult and Pediatric Speech Therapy Workflow Overview","adult-and-pediatric-speech-therapy-workflow-overview","Guide for Adult and Pediatric Speech Therapy Workflow Overview","<p><video controls src=""/videos/adult-and-pediatric-speech-therapy-workflow-overview.mp4"" style=""width: 100%""></video></p>
","clinicians-module/documentation-features","clinicians-module","clinicians-module-documentation-features","","clinicians-module/documentation-features/adult-and-pediatric-speech-therapy-workflow-overview.md"
